_id,Version_UID,accessories_package,city_id,city_name,cow_cess,engine_protect,ex_showroom_price,extended_warranty,fastag,five_year_extended_warranty,four_year_extended_warranty,four_year_rsa,genuine_accessories,hypothecation_charges,insurance,mcd,model_id,one_year_extended_warranty,one_year_rsa,paint_protection,registeration_charges,road_safety_tax_cess,rsa,rti,rto,rto_bh_series,rto_corporate,second_year_extended_warranty,shield_of_trust,state,tax_collected_at_source_tcs,three_m_protection,three_year_extended_warranty,two_year_rsa,brand,model_name,version_name
6434e9cdaf924b64c96cc4ed,224,,137,Panipat,,,836900,,500,,,,,1500,43960,,26,,,,,,,,74952,66952,66952,,,HARYANA,,,,,Hyundai,Aura,SX Plus AMT
6434e9cdaf924b64c96cc4ee,224,,251,Panna,,,836900,,500,,,,,1500,43960,,26,,,,,,,,74952,66952,66952,,,MADHYA PRADESH,,,,,Hyundai,Aura,SX Plus AMT
6434e9cdaf924b64c96cc4f4,224,,69,Patna,,,836900,,700,,,,,1500,48543,,26,,,,,,,,94469,,66952,,,BIHAR,,,,,Hyundai,Aura,SX Plus AMT
6434e9cdaf924b64c96cc512,224,,255,Rewa,,,836900,,500,,,,,1500,43960,,26,,,,,,,,74952,66952,66952,,,MADHYA PRADESH,,,,,Hyundai,Aura,SX Plus AMT
6434e9cdaf924b64c96cc514,224,,311,Ri Bhoi,,,836900,,500,,,,,1500,43960,,26,,,,,,,,17000,,66952,,,MEGHALAYA,,,,,Hyundai,Aura,SX Plus AMT
6434e9cdaf924b64c96cc515,224,,139,Rohtak,,,836900,,500,,,,,1500,43960,,26,,,,,,,,74952,66952,66952,,,HARYANA,,,,,Hyundai,Aura,SX Plus AMT
6434e9cdaf924b64c96cc518,224,,523,Rudraprayag,,,836900,,500,,,,,1500,43960,,26,,,,,,,,83321,,66952,,,UTTARAKHAND,,,,,Hyundai,Aura,SX Plus AMT
6434e9cdaf924b64c96cc519,224,,378,Rupnagar,,,836900,,500,,,,,1500,43960,,26,,,,,,,,66388,66952,58388,,,PUNJAB,,,,,Hyundai,Aura,SX Plus AMT
6434e9cdaf924b64c96cc2f7,219,13500,180,Ranchi,,,693000,,600,,6811,,,1500,29919,,26,,,2030,,,1889,,51282,,55440,,,JHARKHAND,,,,,Hyundai,Aura,S
6434e9cdaf924b64c96cc304,219,,120,Sabarkantha,,,693000,,500,,,,,1500,38812,,26,,,,,,,,37233,55440,64465,,,GUJARAT,,,,,Hyundai,Aura,S
6434e9cdaf924b64c96cc30c,219,9500,352,Sambalpur,,,693000,,500,,4800,,,1500,34124,,26,,,,,,,,57680,55440,55440,,3999,ODISHA,,,,,Hyundai,Aura,S
6434e9cdaf924b64c96cc30e,219,,379,Sangrur,,,693000,,500,,,,,1500,38812,,26,,,,,,,,53349,55440,48349,,,PUNJAB,,,,,Hyundai,Aura,S
6434e9cdaf924b64c96cc30f,219,,504,Sant Kabir Nagar,,,693000,,500,,,,,1500,38812,,26,,,,,,,,60440,55440,55440,,,UTTAR PRADESH,,,,,Hyundai,Aura,S
6434e9cdaf924b64c96cc314,219,,406,Sawai Madhopur,,,693000,,500,,,,,1500,38812,,26,,,,,,,,67370,55440,62370,,,RAJASTHAN,,,,,Hyundai,Aura,S
6434e9cdaf924b64c96cc31a,219,,260,Shahdol,,,693000,,500,,,,,1500,38812,,26,,,,,,,,60440,55440,55440,,,MADHYA PRADESH,,,,,Hyundai,Aura,S
6434e9cdaf924b64c96cc329,219,,265,Singrauli,,,693000,,500,,,,,1500,38812,,26,,,,,,,,60440,55440,55440,,,MADHYA PRADESH,,,,,Hyundai,Aura,S
6434e9cdaf924b64c96cc32f,219,,77,Siwan,,,693000,,500,,,,,1500,38812,,26,,,,,,,,67370,,55440,,,BIHAR,,,,,Hyundai,Aura,S
6434e9cdaf924b64c96cc339,219,,451,South Tripura,,,693000,,500,,,,,1500,38812,,26,,,,,,,,32720,55440,27720,,,TRIPURA,,,,,Hyundai,Aura,S
6434e9cdaf924b64c96cc33b,219,,164,Srinagar,,,693000,,500,,,,,1500,38812,,26,,,,,,,,53510,,55440,,,JAMMU & KASHMIR,,,,,Hyundai,Aura,S
6434e9cdaf924b64c96cc345,219,,524,Tehri Garhwal,,,693000,,500,,,,,1500,38812,,26,,,,,,,,67370,,55440,,,UTTARAKHAND,,,,,Hyundai,Aura,S
6434e9cdaf924b64c96cc352,219,,409,Tonk,,,693000,,500,,,,,1500,38812,,26,,,,,,,,67370,55440,62370,,,RAJASTHAN,,,,,Hyundai,Aura,S
6434e9cdaf924b64c96cc356,219,,410,Udaipur,,,693000,,500,,,,,1500,38812,,26,,,,,,,,67370,55440,62370,,,RAJASTHAN,,,,,Hyundai,Aura,S
6434e9cdaf924b64c96cc35c,219,,268,Umaria,,,693000,,500,,,,,1500,38812,,26,,,,,,,,60440,55440,55440,,,MADHYA PRADESH,,,,,Hyundai,Aura,S
6434e9cdaf924b64c96cc360,219,,526,Uttarkashi,,,693000,,500,,,,,1500,38812,,26,,,,,,,,67370,,55440,,,UTTARAKHAND,,,,,Hyundai,Aura,S
6434e9cdaf924b64c96cc363,219,,124,Valsad,,,693000,,500,,,,,1500,38812,,26,,,,,,,,37233,55440,64465,,,GUJARAT,,,,,Hyundai,Aura,S
6434e9cdaf924b64c96cc36b,219,,448,Warangal,,,693000,,500,,5302,,,1500,39073,,26,,,,,,,,97020,55440,97020,,,TELANGANA,,,,,Hyundai,Aura,S
6434e9cdaf924b64c96cc371,219,,24,West Kameng,,,693000,,500,,,,,1500,38812,,26,,,,,,,,74300,,55440,,,ARUNACHAL PRADESH,,,,,Hyundai,Aura,S
6434e9cdaf924b64c96cc372,219,,314,West Khasi Hills,,,693000,,500,,,,,1500,38812,,26,,,,,,,,14000,,55440,,,MEGHALAYA,,,,,Hyundai,Aura,S
6434e9cdaf924b64c96cc373,219,,25,West Siang,,,693000,,500,,,,,1500,38812,,26,,,,,,,,74300,,55440,,,ARUNACHAL PRADESH,,,,,Hyundai,Aura,S
6434e9cdaf924b64c96cc374,219,,414,West Sikkim,,,693000,,500,,,,,1500,38812,,26,,,,,,,,6800,55440,1800,,,SIKKIM,,,,,Hyundai,Aura,S
6434e9cdaf924b64c96cc37a,224,,442,Adilabad,,,836900,,500,,,,,1500,43960,,26,,,,,,,,125166,66952,117166,,,TELANGANA,,,,,Hyundai,Aura,SX Plus AMT
6434e9cdaf924b64c96cc37e,224,,270,Akola,,,836900,,500,,,,,1500,43960,,26,,,,,2001,,,100059,66952,167380,,,MAHARASHTRA,,,,,Hyundai,Aura,SX Plus AMT
6434e9cdaf924b64c96cc38b,224,,415,Ariyalur,,,836900,,500,,,,,1500,43960,,26,,,,,1500,,,91690,66952,83690,,,TAMIL NADU,,,,,Hyundai,Aura,SX Plus AMT
6434e9cdaf924b64c96cc392,224,,514,Bageshwar,,,836900,,500,,,,,1500,43960,,26,,,,,,,,83321,,66952,,,UTTARAKHAND,,,,,Hyundai,Aura,SX Plus AMT
6434e9cdaf924b64c96cc3a8,224,,465,Basti,,,836900,,500,,,,,1500,43960,,26,,,,,,,,74952,66952,66952,,,UTTAR PRADESH,,,,,Hyundai,Aura,SX Plus AMT
6434e9cdaf924b64c96cc3b4,224,,109,Bhavnagar,,,836900,,500,,,,,1500,43960,,26,,,,,,,,46926,66952,77851,,,GUJARAT,,,,,Hyundai,Aura,SX Plus AMT
6434e9cdaf924b64c96cc3b9,224,16356,229,Bhopal,,,836900,,600,,,,,1500,43960,,26,,,,,,,,74952,66952,66952,10834,,MADHYA PRADESH,,,,2136,Hyundai,Aura,SX Plus AMT
6434e9cdaf924b64c96cc3c0,224,,300,Bishnupur,,,1673800,,1000,,,,,3000,87920,,26,,,,,,,,149904,66952,112982,,,MANIPUR,,,,,Hyundai,Aura,SX Plus AMT
6434e9cdaf924b64c96cc3dd,224,,303,Churachandpur,,,836900,,500,,,,,1500,43960,,26,,,,,,,,58214,,66952,,,MANIPUR,,,,,Hyundai,Aura,SX Plus AMT
6434e9cdaf924b64c96cc3e0,224,,529,Cooch Behar,,,836900,,500,,,,,1500,43960,,26,,,,,,,,91690,66952,46030,,,WEST BENGAL,,,,,Hyundai,Aura,SX Plus AMT
6434e9cdaf924b64c96cc3e2,224,9500,337,Cuttack,,,836900,,500,,5280,,,1500,38242,,26,,,,,,,,69192,66952,66952,,3999,ODISHA,,,,,Hyundai,Aura,SX Plus AMT
6434e9cdaf924b64c96cc3e6,224,,233,Damoh,,,836900,,500,,,,,1500,43960,,26,,,,,,,,74952,66952,66952,,,MADHYA PRADESH,,,,,Hyundai,Aura,SX Plus AMT
6434e9cdaf924b64c96cc3ea,224,,234,Datia,,,836900,,500,,,,,1500,43960,,26,,,,,,,,74952,66952,66952,,,MADHYA PRADESH,,,,,Hyundai,Aura,SX Plus AMT
6434e9cdaf924b64c96cc411,224,,472,Etawah,,,836900,,500,,,,,1500,43960,,26,,,,,,,,74952,66952,66952,,,UTTAR PRADESH,,,,,Hyundai,Aura,SX Plus AMT
6434e9cdaf924b64c96cc414,224,,361,Faridkot,,,836900,,500,,,,,1500,43960,,26,,,,,,,,66388,66952,58388,,,PUNJAB,,,,,Hyundai,Aura,SX Plus AMT
